City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,297.29,81,59,4.92,EC,1697152827
1,namibe,-15.1961,12.1522,291.69,83,21,2.34,AO,1697152747
2,borba,-4.3878,-59.5939,305.79,38,91,1.26,BR,1697152748
3,kattivakkam,13.2167,80.3167,300.97,81,100,0.83,IN,1697153205
4,papao,-17.75,-149.55,301.97,78,18,6.22,PF,1697153206
5,caleta de carquin,-11.0925,-77.6267,292.52,81,80,5.02,PE,1697152750
6,vilyuysk,63.7553,121.6247,271.03,82,73,4.92,RU,1697153207
7,puerto natales,-51.7236,-72.4875,278.14,95,69,3.57,CL,1697153208
8,hafar al-batin,28.4328,45.9708,304.47,19,0,3.09,SA,1697153208
9,sao vicente,-23.9631,-46.3919,298.25,62,100,4.19,BR,1697153209
10,blackmans bay,-43.0167,147.3167,286.22,67,88,3.13,AU,1697153209
11,ushuaia,-54.8,-68.3,280.96,97,20,16.46,AR,1697153006
12,bel ombre,-4.6167,55.4167,300.06,83,20,1.03,SC,1697153211
13,aasiaat,68.7098,-52.8699,265.39,81,97,3.51,GL,1697153211
14,port-aux-francais,-49.35,70.2167,275.63,80,83,7.72,TF,1697153212
15,cao bang,22.6667,106.25,291.6,97,71,0.59,VN,1697153212
16,stanley,54.868,-1.6985,280.16,87,20,2.06,GB,1697153144
17,hermanus,-34.4187,19.2345,287.35,77,86,3.9,ZA,1697153168
18,oruro,-17.9833,-67.15,284.51,58,100,2.66,BO,1697153214
19,coronel suarez,-37.4547,-61.9334,283.47,38,11,3.15,AR,1697153215
20,brokopondo,4.75,-55.1667,302.28,67,93,4.35,SR,1697153215
21,hastings,50.8552,0.5729,290.53,50,100,6.07,GB,1697153216
22,arno,60.1167,18.6333,282.47,71,4,4.41,SE,1697153217
23,madinat ash shamal,26.1293,51.2009,303.15,58,0,1.04,QA,1697153217
24,waitangi,-43.9535,-176.5597,285.83,71,53,2.24,NZ,1697152993
25,chiang rai,19.9167,99.9167,296.14,100,40,0.0,TH,1697153218
26,tofol,5.3248,163.0078,302.03,84,75,1.54,FM,1697153219
27,sao joao da barra,-21.6403,-41.0511,298.2,81,25,10.61,BR,1697153219
28,yellowknife,62.456,-114.3525,280.44,100,100,2.06,CA,1697153220
29,idri,27.5,13.2667,294.9,43,0,3.68,LY,1697153221
30,dudinka,69.4058,86.1778,274.64,93,98,6.71,RU,1697153222
31,port elizabeth,-33.918,25.5701,290.31,78,0,7.2,ZA,1697153222
32,nemuro,43.3236,145.575,286.54,69,0,4.71,JP,1697153223
33,melenci,45.5139,20.3172,290.82,49,8,0.91,RS,1697153224
34,gadzhiyevo,69.2551,33.3362,276.65,80,100,10.14,RU,1697153224
35,arar,30.9753,41.0381,296.16,27,0,3.09,SA,1697153225
36,bethel,41.3712,-73.414,288.67,75,0,1.54,US,1697153226
37,margaret river,-33.95,115.0667,284.7,78,6,3.71,AU,1697153226
38,olonkinbyen,70.9221,-8.7187,272.66,90,94,10.21,SJ,1697153120
39,jamestown,42.097,-79.2353,284.95,75,0,2.57,US,1697153069
40,badger,64.8,-147.5333,273.15,77,75,1.54,US,1697153228
41,punta arenas,-53.15,-70.9167,281.21,76,20,10.29,CL,1697153229
42,bredasdorp,-34.5322,20.0403,286.98,74,97,4.28,ZA,1697153229
43,edinburgh of the seven seas,-37.0676,-12.3116,286.16,81,41,5.43,SH,1697153230
44,la sarre,48.8002,-79.1996,280.23,93,99,3.44,CA,1697153231
45,isafjordur,66.0755,-23.124,273.27,91,100,13.81,IS,1697153231
46,gisborne,-38.6533,178.0042,291.14,52,0,3.09,NZ,1697153232
47,adrar,20.5022,-10.0711,304.06,20,25,1.93,MR,1697153233
48,la'ie,21.6477,-157.9253,304.13,64,0,4.34,US,1697153234
49,christchurch,-43.5333,172.6333,292.86,72,72,4.12,NZ,1697153234
50,katsuura,35.1333,140.3,292.81,59,3,6.16,JP,1697153235
51,tiksi,71.6872,128.8694,268.46,96,100,3.75,RU,1697153236
52,oriximina,-1.7656,-55.8661,305.07,40,44,1.76,BR,1697153236
53,iqaluit,63.7506,-68.5145,273.0,86,75,0.0,CA,1697153237
54,st. john's,47.5649,-52.7093,286.01,99,100,3.6,CA,1697153237
55,georgetown,5.4112,100.3354,300.11,87,20,1.03,MY,1697153049
56,bilibino,68.0546,166.4372,266.46,87,100,1.64,RU,1697153239
57,bumba,2.1833,22.4667,296.28,86,51,1.19,CD,1697153240
58,ribeira grande,38.5167,-28.7,291.91,85,74,4.02,PT,1697153240
59,luau,-10.7073,22.2247,293.28,80,11,1.78,AO,1697153241
60,ad dawadimi,24.5077,44.3924,294.79,11,0,3.47,SA,1697153242
61,gulf shores,30.246,-87.7008,294.33,75,100,2.57,US,1697153010
62,hobyo,5.3505,48.5268,299.93,83,3,4.24,SO,1697153243
63,fale old settlement,-9.3852,-171.2468,301.61,79,27,8.16,TK,1697153176
64,antofagasta,-23.65,-70.4,289.43,81,33,3.25,CL,1697153244
65,remire-montjoly,4.9167,-52.2667,301.17,78,0,1.03,GF,1697153245
66,tobruk,32.0836,23.9764,294.52,67,0,5.04,LY,1697153245
67,vorgashor,67.5833,63.95,272.75,71,100,6.63,RU,1697153246
68,hawaiian paradise park,19.5933,-154.9731,301.88,74,100,4.12,US,1697153246
69,lebu,-37.6167,-73.65,283.08,81,0,9.63,CL,1697153247
70,egilsstadir,65.2653,-14.3948,276.1,87,75,9.77,IS,1697153248
71,medina,24.4686,39.6142,302.39,13,0,3.09,SA,1697153248
72,mercedes,-34.6515,-59.4307,286.4,49,3,3.09,AR,1697153249
73,mount gambier,-37.8333,140.7667,286.18,85,100,4.89,AU,1697153249
74,palatka,29.6486,-81.6376,297.62,98,100,1.3,US,1697153251
75,albany,42.6001,-73.9662,287.23,70,35,2.43,US,1697153251
76,merano,46.6682,11.1595,288.15,85,59,0.89,IT,1697153252
77,behshahr,36.6923,53.5526,286.22,86,26,2.46,IR,1697153253
78,harstad,68.799,16.5293,275.46,89,62,5.36,NO,1697153253
79,new norfolk,-42.7826,147.0587,286.87,65,96,3.84,AU,1697153254
80,tabou,4.423,-7.3528,298.28,90,100,2.52,CI,1697153255
81,scarborough,54.2797,-0.4044,283.91,86,98,3.13,GB,1697153223
82,anadyr,64.75,177.4833,278.43,93,40,7.6,RU,1697153256
83,heber city,40.5069,-111.4132,280.12,75,100,3.6,US,1697153157
84,grytviken,-54.2811,-36.5092,270.81,86,94,2.06,GS,1697153257
85,atafu village,-8.5421,-172.5159,301.17,79,23,5.88,TK,1697153257
86,tsaratanana,-16.7833,47.65,296.75,84,9,1.14,MG,1697153258
87,bubaque,11.2833,-15.8333,301.34,77,64,2.45,GW,1697153259
88,skeldon,5.8833,-57.1333,300.91,77,5,4.14,GY,1697153259
89,chowchilla,37.123,-120.2602,299.12,31,0,0.0,US,1697153260
90,kangding,30.0513,101.9603,281.01,99,100,1.08,CN,1697153261
91,prata,-19.3072,-48.9242,304.09,40,87,1.19,BR,1697153261
92,west island,-12.1568,96.8225,298.14,78,40,6.17,CC,1697153262
93,college,64.8569,-147.8028,273.2,76,100,1.54,US,1697153145
94,selfoss,63.9331,-20.9971,274.24,81,100,6.47,IS,1697153263
95,papatowai,-46.5619,169.4708,290.71,46,84,6.87,NZ,1697153264
96,nova sintra,14.8667,-24.7167,297.61,76,99,1.74,CV,1697153264
97,mindelo,16.8901,-24.9804,299.9,78,40,2.06,CV,1697153265
98,longyearbyen,78.2186,15.6401,270.06,74,40,3.09,SJ,1697153266
